x,y
960,216
961,216
960,217
961,217
960,218
961,218
960,219
961,219
960,220
961,220
960,221
961,221
960,222
961,222
960,223
961,223
960,240
961,240
960,241
961,241
960,242
961,242
960,243
961,243
960,244
961,244
960,245
961,245
960,246
961,246
960,247
961,247
960,248
961,248
960,249
961,249
960,250
961,250
960,251
961,251
960,252
961,252
960,253
961,253
960,254
961,254
960,255
961,255
960,256
961,256
960,257
961,257
960,258
961,258
960,259
961,259
960,260
961,260
960,261
961,261
960,262
961,262
960,263
961,263
960,264
961,264
960,265
961,265
960,266
961,266
960,267
961,267
960,268
961,268
960,269
961,269
960,270
961,270
960,271
961,271
960,272
961,272
960,273
961,273
960,274
961,274
960,275
961,275
960,276
961,276
960,277
961,277
960,278
961,278
960,279
961,279
960,280
961,280
960,281
961,281
960,282
961,282
960,283
961,283
960,284
961,284
960,285
961,285
960,286
961,286
960,287
961,287
960,288
961,288
960,289
961,289
960,290
961,290
960,291
961,291
960,292
961,292
960,293
961,293
960,294
961,294
960,295
961,295
960,296
961,296
960,297
961,297
960,298
961,298
960,299
961,299
960,300
961,300
960,301
961,301
960,302
961,302
960,303
961,303
960,304
961,304
960,305
961,305
960,306
961,306
960,307
961,307
960,308
961,308
960,309
961,309
960,310
961,310
960,311
961,311
960,312
961,312
960,313
961,313
960,314
961,314
960,315
961,315
960,316
961,316
960,317
961,317
960,318
961,318
960,319
961,319
961,320
960,322
961,322
960,323
961,323
578,324
580,324
582,324
583,324
600,324
601,324
602,324
603,324
604,324
605,324
606,324
607,324
608,324
609,324
610,324
611,324
612,324
613,324
614,324
615,324
616,324
617,324
618,324
619,324
620,324
621,324
622,324
623,324
624,324
625,324
626,324
627,324
628,324
629,324
630,324
631,324
632,324
633,324
634,324
635,324
636,324
637,324
638,324
639,324
688,324
689,324
690,324
691,324
692,324
693,324
694,324
695,324
696,324
697,324
698,324
699,324
700,324
701,324
702,324
703,324
720,324
721,324
722,324
723,324
724,324
725,324
726,324
727,324
728,324
729,324
730,324
731,324
732,324
733,324
734,324
735,324
1152,324
1153,324
1154,324
1155,324
1156,324
1157,324
1158,324
1159,324
1160,324
1161,324
1162,324
1163,324
1164,324
1165,324
1166,324
1167,324
1192,324
1193,324
1194,324
1195,324
1196,324
1197,324
1198,324
1199,324
1200,324
1201,324
1202,324
1203,324
1204,324
1205,324
1206,324
1207,324
1208,324
1209,324
1210,324
1211,324
1212,324
1213,324
1214,324
1215,324
1224,324
1225,324
1226,324
1227,324
1228,324
1229,324
1230,324
1231,324
1232,324
1233,324
1234,324
1235,324
1236,324
1237,324
1238,324
1239,324
1240,324
1241,324
1242,324
1243,324
1244,324
1245,324
1246,324
1247,324
1264,324
1265,324
1266,324
1267,324
1268,324
1269,324
1270,324
1271,324
1272,324
1273,324
1274,324
1275,324
1276,324
1277,324
1278,324
1279,324
1280,324
1281,324
1282,324
1283,324
1284,324
1285,324
1286,324
1287,324
1288,324
1289,324
1290,324
1291,324
1292,324
1293,324
1294,324
1296,324
1297,324
1298,324
1299,324
1336,324
1337,324
1338,324
1339,324
1340,324
1341,324
1342,324
1343,324
1345,324
582,325
600,325
601,325
602,325
603,325
604,325
605,325
606,325
607,325
608,325
609,325
610,325
611,325
612,325
613,325
614,325
615,325
616,325
617,325
618,325
619,325
620,325
621,325
622,325
623,325
624,325
625,325
626,325
627,325
628,325
629,325
630,325
631,325
632,325
633,325
634,325
635,325
636,325
637,325
638,325
639,325
688,325
689,325
690,325
691,325
692,325
693,325
694,325
695,325
696,325
697,325
698,325
699,325
700,325
701,325
702,325
703,325
720,325
721,325
722,325
723,325
724,325
725,325
726,325
727,325
728,325
729,325
730,325
731,325
732,325
733,325
734,325
735,325
736,325
737,325
738,325
739,325
740,325
741,325
742,325
743,325
744,325
745,325
746,325
747,325
748,325
749,325
750,325
751,325
752,325
753,325
754,325
755,325
756,325
757,325
758,325
759,325
760,325
761,325
762,325
763,325
764,325
765,325
766,325
767,325
1152,325
1153,325
1154,325
1155,325
1156,325
1157,325
1158,325
1159,325
1160,325
1161,325
1162,325
1163,325
1164,325
1165,325
1166,325
1167,325
1168,325
1169,325
1170,325
1171,325
1172,325
1173,325
1174,325
1175,325
1176,325
1177,325
1178,325
1179,325
1180,325
1181,325
1182,325
1183,325
1184,325
1185,325
1186,325
1187,325
1188,325
1189,325
1190,325
1191,325
1192,325
1193,325
1194,325
1195,325
1196,325
1197,325
1198,325
1199,325
1200,325
1201,325
1202,325
1203,325
1204,325
1205,325
1206,325
1207,325
1208,325
1209,325
1210,325
1211,325
1212,325
1213,325
1214,325
1215,325
1216,325
1217,325
1218,325
1219,325
1220,325
1221,325
1222,325
1223,325
1224,325
1225,325
1226,325
1227,325
1228,325
1229,325
1230,325
1231,325
1248,325
1249,325
1250,325
1251,325
1252,325
1253,325
1254,325
1255,325
1294,325
1295,325
1296,325
1297,325
1298,325
1299,325
1327,325
576,326
1344,344
1345,344
1344,345
1345,345
577,353
577,354
577,355
577,356
577,357
577,358
577,359
577,360
1344,360
1345,360
577,361
1344,361
1345,361
577,362
577,363
577,364
577,365
577,366
577,367
577,375
577,376
577,377
577,378
577,379
577,380
577,381
577,382
577,398
576,399
577,399
576,400
577,400
576,401
577,401
576,402
577,402
576,403
577,403
576,404
577,404
576,405
577,405
576,406
577,406
576,407
577,407
576,408
577,408
1345,408
576,409
577,409
1345,409
576,410
577,410
1345,410
576,411
577,411
1345,411
576,412
577,412
1345,412
576,413
577,413
1345,413
576,414
577,414
1345,414
576,415
577,415
1345,415
577,416
1345,416
577,417
1345,417
577,418
1345,418
577,419
1345,419
577,420
1345,420
577,421
1345,421
577,422
1345,422
577,423
1345,423
577,424
1345,424
577,425
1345,425
577,426
1345,426
577,427
1345,427
577,428
1345,428
577,429
1345,429
577,430
1345,430
577,431
1345,431
416,540
417,540
418,540
419,540
420,540
421,540
422,540
423,540
424,540
425,540
426,540
427,540
428,540
429,540
430,540
431,540
432,540
433,540
434,540
435,540
436,540
437,540
438,540
439,540
440,540
441,540
442,540
443,540
444,540
445,540
446,540
447,540
448,540
449,540
450,540
451,540
452,540
453,540
454,540
455,540
464,540
465,540
466,540
467,540
468,540
469,540
470,540
471,540
1344,540
1345,540
1346,540
1347,540
1348,540
1349,540
1350,540
1351,540
1352,540
1353,540
1354,540
1355,540
1356,540
1357,540
1358,540
1359,540
1376,540
1377,540
1378,540
1379,540
1380,540
1381,540
1382,540
1383,540
1384,540
1385,540
1386,540
1387,540
1388,540
1389,540
1390,540
1391,540
1392,540
1393,540
1394,540
1395,540
1396,540
1397,540
1398,540
1399,540
1400,540
1401,540
1402,540
1403,540
1404,540
1405,540
1406,540
1407,540
1408,540
1409,540
1410,540
1411,540
1412,540
1413,540
1414,540
1415,540
1432,540
1433,540
1434,540
1435,540
1436,540
1437,540
1438,540
1439,540
1456,540
1457,540
1458,540
1459,540
1460,540
1461,540
1462,540
1463,540
1464,540
1465,540
1466,540
1467,540
1468,540
1469,540
1470,540
1471,540
1520,540
1521,540
1522,540
1523,540
1524,540
1525,540
1526,540
1527,540
1528,540
1529,540
1530,540
1531,540
1532,540
1533,540
1534,540
1535,540
416,541
417,541
418,541
419,541
420,541
421,541
422,541
423,541
424,541
425,541
426,541
427,541
428,541
429,541
430,541
431,541
432,541
433,541
434,541
435,541
436,541
437,541
438,541
439,541
440,541
441,541
442,541
443,541
444,541
445,541
446,541
447,541
456,541
457,541
458,541
459,541
460,541
461,541
462,541
463,541
464,541
465,541
466,541
467,541
468,541
469,541
470,541
471,541
472,541
473,541
474,541
475,541
476,541
477,541
478,541
479,541
480,541
481,541
482,541
483,541
484,541
485,541
486,541
560,541
561,541
562,541
563,541
564,541
565,541
566,541
567,541
568,541
569,541
570,541
571,541
572,541
573,541
574,541
575,541
1344,541
1345,541
1346,541
1347,541
1348,541
1349,541
1350,541
1351,541
1352,541
1353,541
1354,541
1355,541
1356,541
1357,541
1358,541
1359,541
1376,541
1377,541
1378,541
1379,541
1380,541
1381,541
1382,541
1383,541
1384,541
1385,541
1386,541
1387,541
1388,541
1389,541
1390,541
1391,541
1392,541
1393,541
1394,541
1395,541
1396,541
1397,541
1398,541
1399,541
1400,541
1401,541
1402,541
1403,541
1404,541
1405,541
1406,541
1407,541
1408,541
1409,541
1410,541
1411,541
1412,541
1413,541
1414,541
1415,541
1416,541
1417,541
1418,541
1419,541
1420,541
1421,541
1422,541
1423,541
1424,541
1425,541
1426,541
1427,541
1428,541
1429,541
1430,541
1431,541
1432,541
1433,541
1434,541
1435,541
1436,541
1437,541
1438,541
1439,541
1440,541
1441,541
1442,541
1443,541
1444,541
1445,541
1446,541
1447,541
1448,541
1449,541
1450,541
1451,541
1452,541
1453,541
1454,541
1455,541
1520,541
1521,541
1522,541
1523,541
1524,541
1525,541
1526,541
1527,541
1528,541
1529,541
1530,541
1531,541
1532,541
1533,541
1534,541
1535,541
576,648
1344,648
576,649
1344,649
576,650
1344,650
576,651
1344,651
576,652
1344,652
576,653
1344,653
576,654
1344,654
576,655
1344,655
576,656
577,656
576,657
577,657
576,658
577,658
576,659
577,659
576,660
577,660
576,661
577,661
576,662
577,662
576,663
577,663
576,664
577,664
576,665
577,665
576,666
577,666
576,667
577,667
576,668
577,668
576,669
577,669
576,670
577,670
576,671
577,671
576,672
577,672
1345,672
576,673
577,673
1345,673
576,674
577,674
1345,674
576,675
577,675
1345,675
576,676
577,676
1345,676
576,677
577,677
1345,677
576,678
577,678
1345,678
576,679
577,679
1345,679
576,680
577,680
1345,680
576,681
577,681
1345,681
576,682
577,682
1345,682
576,683
577,683
1345,683
576,684
577,684
1345,684
576,685
577,685
1345,685
576,686
577,686
1345,686
576,687
577,687
1345,687
576,688
577,688
1345,688
576,689
577,689
1345,689
576,690
577,690
1345,690
576,691
577,691
1345,691
576,692
577,692
1345,692
576,693
577,693
1345,693
576,694
577,694
1345,694
576,695
577,695
1345,695
576,696
577,696
1345,696
576,697
577,697
1345,697
576,698
577,698
1345,698
576,699
577,699
1345,699
576,700
577,700
1345,700
576,701
577,701
1345,701
576,702
577,702
1345,702
576,703
577,703
1345,703
576,704
577,704
1345,704
576,705
577,705
1345,705
576,706
577,706
1345,706
576,707
577,707
1345,707
576,708
577,708
1345,708
576,709
577,709
1345,709
576,710
577,710
1345,710
576,711
577,711
1345,711
576,712
577,712
1345,712
576,713
577,713
1345,713
576,714
577,714
1345,714
576,715
577,715
1345,715
576,716
577,716
1345,716
576,717
577,717
1345,717
576,718
577,718
1345,718
576,719
577,719
1345,719
576,720
577,720
1345,720
576,721
577,721
1345,721
576,722
577,722
1345,722
576,723
577,723
1345,723
576,724
577,724
1345,724
576,725
577,725
1345,725
576,726
577,726
1345,726
576,727
577,727
1345,727
576,728
577,728
1345,728
576,729
577,729
1345,729
576,730
577,730
1345,730
576,731
577,731
1345,731
576,732
577,732
1345,732
576,733
577,733
1345,733
576,734
577,734
1345,734
576,735
577,735
1345,735
576,736
577,736
1345,736
576,737
577,737
