y,x,R,G,B
216,960,0,0,0
216,961,0,0,0
217,960,0,0,0
217,961,0,0,0
218,960,0,0,0
218,961,0,0,0
219,960,0,0,0
219,961,0,0,0
220,960,0,0,0
220,961,0,0,0
221,960,0,0,0
221,961,0,0,0
222,960,0,0,0
222,961,0,0,0
223,960,0,0,0
223,961,0,0,0
224,960,0,3,0
224,961,0,2,0
225,960,0,3,0
225,961,0,2,0
226,960,0,3,0
226,961,0,2,0
227,960,0,3,0
227,961,0,2,0
228,960,0,3,0
228,961,0,2,0
229,960,0,3,0
229,961,0,2,0
230,960,0,3,0
230,961,0,2,0
231,960,0,3,0
231,961,0,2,0
232,960,0,3,0
232,961,0,2,0
233,960,0,3,0
233,961,0,2,0
234,960,0,3,0
234,961,0,2,0
235,960,0,3,0
235,961,0,2,0
236,960,0,3,0
236,961,0,2,0
237,960,0,3,0
237,961,0,2,0
238,960,0,3,0
238,961,0,2,0
239,960,0,3,0
239,961,0,2,0
240,960,0,0,0
240,961,0,0,0
241,960,0,0,0
241,961,0,0,0
242,960,0,0,0
242,961,0,0,0
243,960,0,0,0
243,961,0,0,0
244,960,0,0,0
244,961,0,0,0
245,960,0,0,0
245,961,0,0,0
246,960,0,0,0
246,961,0,0,0
247,960,0,0,0
247,961,0,0,0
248,960,0,0,0
248,961,0,0,0
249,960,0,0,0
249,961,0,0,0
250,960,0,0,0
250,961,0,0,0
251,960,0,0,0
251,961,0,0,0
252,960,0,0,0
252,961,0,0,0
253,960,0,0,0
253,961,0,0,0
254,960,0,0,0
254,961,0,0,0
255,960,0,0,0
255,961,0,0,0
256,960,0,0,0
256,961,0,0,0
257,960,0,0,0
257,961,0,0,0
258,960,0,0,0
258,961,0,0,0
259,960,0,0,0
259,961,0,0,0
260,960,0,0,0
260,961,0,0,0
261,960,0,0,0
261,961,0,0,0
262,960,0,0,0
262,961,0,0,0
263,960,0,0,0
263,961,0,0,0
264,960,0,0,0
264,961,0,0,0
265,960,0,0,0
265,961,0,0,0
266,960,0,0,0
266,961,0,0,0
267,960,0,0,0
267,961,0,0,0
268,960,0,0,0
268,961,0,0,0
269,960,0,0,0
269,961,0,0,0
270,960,0,0,0
270,961,0,0,0
271,960,0,0,0
271,961,0,0,0
272,960,0,0,0
272,961,0,0,0
273,960,0,0,0
273,961,0,0,0
274,960,0,0,0
274,961,0,0,0
275,960,0,0,0
275,961,0,0,0
276,960,0,0,0
276,961,0,0,0
277,960,0,0,0
277,961,0,0,0
278,960,0,0,0
278,961,0,0,0
279,960,0,0,0
279,961,0,0,0
280,960,0,0,0
280,961,0,0,0
281,960,0,0,0
281,961,0,0,0
282,960,0,0,0
282,961,0,0,0
283,960,0,0,0
283,961,0,0,0
284,960,0,0,0
284,961,0,0,0
285,960,0,0,0
285,961,0,0,0
286,960,0,0,0
286,961,0,0,0
287,960,0,0,0
287,961,0,0,0
288,960,0,0,0
288,961,0,0,0
289,960,0,0,0
289,961,0,0,0
290,960,0,0,0
290,961,0,0,0
291,960,0,0,0
291,961,0,0,0
292,960,0,0,0
292,961,0,0,0
293,960,0,0,0
293,961,0,0,0
294,960,0,0,0
294,961,0,0,0
295,960,0,0,0
295,961,0,0,0
296,960,0,0,0
296,961,0,0,0
297,960,0,0,0
297,961,0,0,0
298,960,0,0,0
298,961,0,0,0
299,960,0,0,0
299,961,0,0,0
300,960,0,0,0
300,961,0,0,0
301,960,0,0,0
301,961,0,0,0
302,960,0,0,0
302,961,0,0,0
303,960,0,0,0
303,961,0,0,0
304,960,0,0,0
304,961,0,0,0
305,960,0,0,0
305,961,0,0,0
306,960,0,0,0
306,961,0,0,0
307,960,0,0,0
307,961,0,0,0
308,960,0,0,0
308,961,0,0,0
309,960,0,0,0
309,961,0,0,0
310,960,0,0,0
310,961,0,0,0
311,960,0,0,0
311,961,0,0,0
312,960,0,0,0
312,961,0,0,0
313,960,0,0,0
313,961,0,0,0
314,960,0,0,0
314,961,0,0,0
315,960,0,0,0
315,961,0,0,0
316,960,0,0,0
316,961,0,0,0
317,960,0,0,0
317,961,0,0,0
318,960,0,0,0
318,961,0,0,0
319,960,0,0,0
319,961,0,0,0
320,960,0,2,0
320,961,0,0,0
321,960,0,3,0
321,961,0,1,0
322,960,0,0,0
322,961,0,0,0
323,960,0,0,0
323,961,0,0,0
324,576,248,253,247
324,577,249,254,248
324,578,0,0,0
324,579,0,3,0
324,580,0,0,0
324,581,0,2,0
324,582,0,0,0
324,583,0,0,0
324,584,0,1,0
324,585,0,1,0
324,586,0,1,0
324,587,0,1,0
324,588,0,1,0
324,589,0,1,0
324,590,0,1,0
324,591,0,1,0
324,592,0,3,1
324,593,0,3,1
324,594,0,3,1
324,595,0,3,1
324,596,0,3,1
324,597,0,3,1
324,598,0,3,1
324,599,0,3,1
324,600,0,0,0
324,601,0,0,0
324,602,0,0,0
324,603,0,0,0
324,604,0,0,0
324,605,0,0,0
324,606,0,0,0
324,607,0,0,0
324,608,0,0,0
324,609,0,0,0
324,610,0,0,0
324,611,0,0,0
324,612,0,0,0
324,613,0,0,0
324,614,0,0,0
324,615,0,0,0
324,616,0,0,0
324,617,0,0,0
324,618,0,0,0
